,tweet_id,favorites,retweets,user_followers,user_favourites,date_time
112,870308999962521604,20360,3743,8898583,145976,2017-06-01 16:00:09+00:00
113,870063196459192321,33882,7494,8898583,145976,2017-05-31 23:43:25+00:00
114,869772420881756160,39572,9155,8898583,145976,2017-05-31 04:27:59+00:00
115,869702957897576449,26208,5681,8898583,145976,2017-05-30 23:51:58+00:00
116,869596645499047938,14829,2807,8898583,145976,2017-05-30 16:49:31+00:00
117,869227993411051520,18975,3402,8898583,145976,2017-05-29 16:24:37+00:00
118,868880397819494401,60735,13033,8898583,145976,2017-05-28 17:23:24+00:00
119,868639477480148993,0,1871,8899221,145977,2017-05-28 01:26:04+00:00
120,868622495443632128,24750,4778,8898583,145976,2017-05-28 00:18:35+00:00
121,868552278524837888,9366,1871,8898583,145976,2017-05-27 19:39:34+00:00
122,867900495410671616,22548,3794,8898583,145976,2017-05-26 00:29:37+00:00
123,867774946302451713,31642,6649,8898583,145976,2017-05-25 16:10:44+00:00
124,867421006826221569,14985,2263,8898583,145976,2017-05-24 16:44:18+00:00
125,867072653475098625,0,108,8898583,145976,2017-05-23 17:40:04+00:00
126,867051520902168576,29998,7165,8898583,145976,2017-05-23 16:16:06+00:00
127,866720684873056260,18651,4354,8898583,145976,2017-05-22 18:21:28+00:00
128,866686824827068416,17944,3149,8898583,145976,2017-05-22 16:06:55+00:00
129,866450705531457537,113944,32067,8898583,145976,2017-05-22 00:28:40+00:00
130,866334964761202691,48791,12958,8898583,145976,2017-05-21 16:48:45+00:00
131,866094527597207552,0,7622,8898583,145976,2017-05-21 00:53:21+00:00
132,865718153858494464,23989,5124,8898583,145976,2017-05-19 23:57:46+00:00
133,865359393868664832,24696,4555,8898583,145976,2017-05-19 00:12:11+00:00
134,865006731092295680,26187,7043,8898583,145976,2017-05-18 00:50:50+00:00
135,864873206498414592,30140,7930,8898583,145976,2017-05-17 16:00:15+00:00
136,864279568663928832,13648,2745,8898583,145976,2017-05-16 00:41:21+00:00
137,864197398364647424,27989,8051,8898583,145976,2017-05-15 19:14:50+00:00
138,863907417377173506,19282,3788,8898583,145976,2017-05-15 00:02:33+00:00
139,863553081350529029,14286,3833,8898583,145976,2017-05-14 00:34:33+00:00
